id,name,slug,price,listed_price,discount_percent,is_discount,is_out_of_stock,rating_score,total_sold,category,category_slug,subcategory,subcategory_slug,brand,brand_slug,image_url,tags
649a96704de519001d100793,DUNG DỊCH LOẠI BỎ TẾ BÀO CHẾT SKIN PERFECTING 2% BHA LIQUID EXFOLIANT 30ML,dung-dich-loai-bo-te-bao-chet-skin-perfecting-2-bha-liquid-exfoliant-30ml,399000,399000,0,False,False,0,0,Chăm sóc da,cham-soc-da,Tẩy tế bào chết,tay-te-bao-chet,30Shine,30shine,https://static.30shine.com/shop-admin/2023/06/27/30SUTKP1-1.jpg,30Shine
637742095c46d0001e0fb3b5,Kem ngày Dưỡng trắng Kiềm dầu 5 trong 1 UNO UV Perfection Gel,kem-ngay-duong-trang-kiem-dau-5-trong-1-uno-uv-perfection-gel,249000,249000,0,False,False,0,0,Chăm sóc da,cham-soc-da,Dưỡng da,duong-da,Uno,uno,https://static.30shine.com/shop-admin/2022/11/18/30SAQA3E-10114695202vn__1__c5e9a1a563cc4fcd908b1ab2e335132c_master.jpg,
6448e68fedf182001de8c6d7,Tẩy tế bào chết da đầu Cafe Mimi - Làm sạch và dày tóc,tay-te-bao-chet-da-dau-cafe-mimi-lam-sach-va-day-toc,229000,229000,0,False,False,0,0,Chăm sóc tóc,cham-soc-toc,Dưỡng tóc,duong-toc,Cafe Mini,cafe-mini,https://static.30shine.com/shop-admin/2023/04/26/30SAF800-3e8ba198dd01e0ef361e101eb91c0849_4261a6ccaadd44a6a0e9301fad7e7572_master.jpg,
6448e8f6c0617a001d3f918d,Tẩy tế bào chết toàn thân Cafe Mimi Coffee & Quế,tay-te-bao-chet-toan-than-cafe-mimi-coffee-que,179000,179000,0,False,False,0,0,Chăm sóc da,cham-soc-da,Tẩy tế bào chết,tay-te-bao-chet,Cafe Mini,cafe-mini,https://static.30shine.com/shop-admin/2023/04/26/30SW7OU3-主图-03.jpg,
6448e998edf182001de8c744,Tẩy tế bào da chết cơ thể Cafe Mimi Detox ,tay-te-bao-da-chet-co-the-cafe-mimi-detox,229000,229000,0,False,False,0,0,Chăm sóc da,cham-soc-da,Tẩy tế bào chết,tay-te-bao-chet,Cafe Mini,cafe-mini,https://static.30shine.com/shop-admin/2023/04/26/30SJQIL6-cafe-mimi-shampoo-scrub-1_c1799132838d4c43b5043d47c6354355_grande-removebg-preview.jpg,
63bbd645e1d786001dfb8def,"Xịt tạo phồng Glanzen Booster Pre-Styling - Tạo phồng, Giảm bết tóc & Bảo vệ tóc khỏi nhiệt độ cao",xit-tao-phong-glanzen-booster,199000,199000,0,False,False,5,0,Tạo kiểu tóc,tao-kieu-toc,Pre Styling,pre-styling,Glanzen,glanzen,https://static.30shine.com/shop-admin/2023/11/27/30S458BO-vn-11134207-7r98o-lof779dh9dyr6f.jpg,
63c6115c6512ba001d91212f,Xịt dưỡng tóc Glanzen Magic Spray - Dưỡng tóc mềm mại bóng mượt,xit-duong-toc-glanzen-magic-spray,179000,179000,0,False,False,5,0,Tạo kiểu tóc,tao-kieu-toc,Pre Styling,pre-styling,Glanzen,glanzen,https://static.30shine.com/shop-admin/2023/11/27/30SNLZCI-vn-11134207-7r98o-lof779dhasj71d.jpg,
66b3416195d3bf001d306978,"Xịt thâm mụn lưng bí đao 140ml Cocoon mờ thâm, giảm mụn lưng",xit-tham-mun-lung-bi-dao-140ml-cocoon-mo-tham-giam-mun-lung,265000,265000,0,False,False,0,0,Chăm sóc cơ thể,cham-soc-co-the,,,Cocoon,cocoon,https://static.30shine.com/shop-admin/2024/08/07/30S0AMN7-484ef2f34aeb88b5d1fa_b3ba02517f.jpg,Sản phẩm mới
66b338345837a3001d939b39,Gel tắm bí đao 310ml Cocoon giảm mụn lưng,gel-tam-bi-dao-310ml-giam-mun-lung,245000,245000,0,False,False,0,0,Chăm sóc cơ thể,cham-soc-co-the,Sữa Tắm,tam,Cocoon,cocoon,https://static.30shine.com/shop-admin/2024/08/07/30SOP5YX-Artboard_15_a3a07f5eb5.jpg,Sản phẩm mới
669774dccef860001d462b52,Lăn khử mùi cho nam Etiaxil Détranspirants Men 15ml 30Shine phân phối chính hãng,lan-khu-mui-cho-nam-etiaxil-detranspirants-men-15ml-30shine-phan-phoi-chinh-hang,436000,436000,0,False,False,0,0,Chăm sóc cơ thể,cham-soc-co-the,Khử mùi,khu-mui,Etiaxil,etiaxil,https://static.30shine.com/shop-admin/2024/07/17/30SBWIY2-Máy sấy Glanzen dysion.jpg,"30Shine, Sản phẩm mới, momo"
664b179d7ccfd7001d2e8c1a,"Máy cạo râu Flyco FS181VN 30Shine phân phối chính hãng giá tốt, bảo hành 2 năm",may-cao-rau-flyco-fs181vn-30shine-phan-phoi-chinh-hang-gia-tot-bao-hanh-2-nam,349000,349000,0,False,False,0,0,Chăm sóc cơ thể,cham-soc-co-the,Cạo râu,cao-rau,FLYCO,flyco,https://static.30shine.com/shop-admin/2024/05/20/30S7AKRT-1-min.jpg,
656ed5029f286d001d14bd30,Sữa tắm Blairsom Thảo Mộc Dưỡng Ẩm 500ml,sua-tam-blairsom-thao-moc-duong-am-500ml,"{'from': 55000, 'to': 655000}",0,0,False,False,0,0,Chăm sóc cơ thể,cham-soc-co-the,Sữa Tắm,tam,Blairsom,blairsom,https://static.30shine.com/shop-admin/2023/12/05/30SY49A4-1.jpg,30Shine
64703038c0617a001d4a6ea7,Sáp khử mùi Old Spice - New Collection,sap-khu-mui-old-spice-new-collection,199000,199000,0,False,False,0,0,Chăm sóc cơ thể,cham-soc-co-the,Khử mùi,khu-mui,Old Spice,old-spice,https://static.30shine.com/shop-admin/2023/05/26/30SFMDLV-1.jpg,
63b3a1a2553c46001dcb81ef,Bộ 3 chai nước hoa nam chính hãng Nerman 4000,bo-3-chai-nuoc-hoa-nam-chinh-hang-nerman-4000,499000,499000,0,False,False,0,0,Chăm sóc cơ thể,cham-soc-co-the,Nước hoa,nuoc-hoa,Nerman,nerman,https://static.30shine.com/shop-admin/2023/01/03/30SNIFQP-bo-3-chai-nuoc-hoa-nam-chinh-hang-nerman-4000-h1.jpg,
6132be843dc73d001c0c4d56,Sữa tắm Old Spice,sua-tam-old-spice,"{'from': 159000, 'to': 167000}",0,0,False,False,0,0,Chăm sóc cơ thể,cham-soc-co-the,Sữa Tắm,tam,Old Spice,old-spice,https://static.30shine.com/shop-admin/2021/09/04/30SM93VW-00037000905295_C1N1_2_NA.jpg,30Shine
61459957f5f763001c599727,Nước Uống Đẹp Da Bổ Sung Collagen Kinohimitsu Diamond 5300,nuoc-uong-dep-da-bo-sung-collagen-kinohimitsu-diamond-5300,"{'from': 350000, 'to': 1750000}",0,0,False,False,0,0,Thực phẩm chức năng,sp-thuc-pham-chuc-nang,Làm đẹp,lam-dep,Kinohimitsu,dinohimitsu,https://static.30shine.com/shop-admin/2021/09/18/30SOUT0R-Nước Uống Đẹp Da Bổ Sung Collagen Kinohimitsu Diamond 5300.png,
6145964ef5f763001c599724,Kinohimitsu Giúp Trắng Da Và Gan Khoẻ Mạnh Prowhite,kinohimitsu-giup-trang-da-va-gan-khoe-manh-prowhite,"{'from': 610000, 'to': 1750000}",0,0,False,False,0,0,Thực phẩm chức năng,sp-thuc-pham-chuc-nang,Làm đẹp,lam-dep,Kinohimitsu,dinohimitsu,https://static.30shine.com/shop-admin/2021/09/18/30S3H7A4-Kinohimitsu Giúp Trắng Da Và Gan Khoẻ Mạnh Prowhite.png,
